[Mon Jul 16 06:51:10.720391 2018] [mpm_event:notice] [pid 248:tid 140285943142272] AH00489: Apache/2.4.10 (Debian) configured -- resuming normal operations
[Mon Jul 16 06:51:10.720834 2018] [core:notice] [pid 248:tid 140285943142272] AH00094: Command line: '/usr/sbin/apache2'
[Mon Jul 16 07:33:55.355581 2018] [proxy_fcgi:error] [pid 563:tid 140285761804032] [client 172.17.0.1:50946] AH01068: Got bogus version 40, referer: http://wpdevcourse1.local/wp-admin/
[Mon Jul 16 07:33:55.355746 2018] [proxy_fcgi:error] [pid 563:tid 140285761804032] (22)Invalid argument: [client 172.17.0.1:50946] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/
[Mon Jul 16 07:35:36.403966 2018] [proxy_fcgi:error] [pid 562:tid 140285719840512] [client 172.17.0.1:51132] AH01068: Got bogus version 117, referer: http://wpdevcourse1.local/wp-admin/plugin-install.php?s=google+an&tab=search&type=term
[Mon Jul 16 07:35:36.405675 2018] [proxy_fcgi:error] [pid 562:tid 140285719840512] (22)Invalid argument: [client 172.17.0.1:51132] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/plugin-install.php?s=google+an&tab=search&type=term
[Mon Jul 16 07:53:42.445897 2018] [proxy_fcgi:error] [pid 563:tid 140285627520768] [client 172.17.0.1:51938] AH01068: Got bogus version 101, referer: http://wpdevcourse1.local/wp-admin/post.php?post=2&action=edit
[Mon Jul 16 07:53:42.446067 2018] [proxy_fcgi:error] [pid 563:tid 140285627520768] (22)Invalid argument: [client 172.17.0.1:51938] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/post.php?post=2&action=edit
[Mon Jul 16 07:55:14.922407 2018] [proxy_fcgi:error] [pid 562:tid 140285602342656] [client 172.17.0.1:52114] AH01068: Got bogus version 97, referer: http://wpdevcourse1.local/wp-admin/customize.php?return=%2Fwp-admin%2Fpost.php%3Fpost%3D2%26action%3Dedit
[Mon Jul 16 07:55:14.922576 2018] [proxy_fcgi:error] [pid 562:tid 140285602342656] (22)Invalid argument: [client 172.17.0.1:52114] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/customize.php?return=%2Fwp-admin%2Fpost.php%3Fpost%3D2%26action%3Dedit
[Mon Jul 16 10:03:26.009966 2018] [proxy_fcgi:error] [pid 563:tid 140285703055104] [client 172.17.0.1:52358] AH01068: Got bogus version 101, referer: http://wpdevcourse1.local/wp-admin/post.php?post=2&action=edit
[Mon Jul 16 10:03:26.010708 2018] [proxy_fcgi:error] [pid 563:tid 140285703055104] (22)Invalid argument: [client 172.17.0.1:52358] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/post.php?post=2&action=edit
[Mon Jul 16 12:44:50.864279 2018] [proxy_fcgi:error] [pid 563:tid 140285610735360] [client 172.17.0.1:54578] AH01068: Got bogus version 35, referer: http://wpdevcourse1.local/wp-admin/nav-menus.php
[Mon Jul 16 12:44:50.864711 2018] [proxy_fcgi:error] [pid 563:tid 140285610735360] (22)Invalid argument: [client 172.17.0.1:54578] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/nav-menus.php
[Mon Jul 16 13:04:09.894488 2018] [proxy_fcgi:error] [pid 563:tid 140285770196736] [client 172.17.0.1:55634] AH01068: Got bogus version 101, referer: http://wpdevcourse1.local/wp-admin/post.php?post=1715&action=edit
[Mon Jul 16 13:04:09.894675 2018] [proxy_fcgi:error] [pid 563:tid 140285770196736] (22)Invalid argument: [client 172.17.0.1:55634] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/post.php?post=1715&action=edit
[Mon Jul 16 13:04:57.405095 2018] [proxy_fcgi:error] [pid 562:tid 140285761804032] [client 172.17.0.1:55742] AH01068: Got bogus version 101, referer: http://wpdevcourse1.local/wp-admin/post.php?post=1713&action=edit&message=1
[Mon Jul 16 13:04:57.405211 2018] [proxy_fcgi:error] [pid 562:tid 140285761804032] (22)Invalid argument: [client 172.17.0.1:55742] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/post.php?post=1713&action=edit&message=1
[Sun Jul 15 13:07:38.974609 2018] [proxy_fcgi:error] [pid 562:tid 140285644306176] [client 172.17.0.1:55950] AH01068: Got bogus version 40, referer: http://wpdevcourse1.local/wp-admin/upload.php
[Sun Jul 15 13:07:38.974767 2018] [proxy_fcgi:error] [pid 562:tid 140285644306176] (22)Invalid argument: [client 172.17.0.1:55950] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/upload.php
[Mon Jul 16 13:10:09.654277 2018] [mpm_event:notice] [pid 592:tid 139795126757248] AH00489: Apache/2.4.10 (Debian) configured -- resuming normal operations
[Mon Jul 16 13:10:09.654597 2018] [core:notice] [pid 592:tid 139795126757248] AH00094: Command line: '/usr/sbin/apache2'
[Mon Jul 16 13:10:37.678953 2018] [proxy_fcgi:error] [pid 595:tid 139794835252992] [client 172.17.0.1:56174] AH01068: Got bogus version 40, referer: http://wpdevcourse1.local/wp-admin/upload.php
[Mon Jul 16 13:10:37.679103 2018] [proxy_fcgi:error] [pid 595:tid 139794835252992] (22)Invalid argument: [client 172.17.0.1:56174] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/upload.php
[Mon Jul 16 13:17:26.104345 2018] [proxy_fcgi:error] [pid 595:tid 139794801682176] [client 172.17.0.1:56944] AH01068: Got bogus version 62, referer: http://wpdevcourse1.local/wp-admin/post-new.php
[Mon Jul 16 13:17:26.104467 2018] [proxy_fcgi:error] [pid 595:tid 139794801682176] (22)Invalid argument: [client 172.17.0.1:56944] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/post-new.php
[Mon Jul 16 13:25:27.122084 2018] [proxy_fcgi:error] [pid 595:tid 139794910787328] [client 172.17.0.1:57528] AH01068: Got bogus version 46, referer: http://wpdevcourse1.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php
[Mon Jul 16 13:25:27.122176 2018] [proxy_fcgi:error] [pid 595:tid 139794910787328] (22)Invalid argument: [client 172.17.0.1:57528] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php
[Mon Jul 16 13:25:27.135964 2018] [proxy_fcgi:error] [pid 595:tid 139794885609216] [client 172.17.0.1:57548] AH01068: Got bogus version 97, referer: http://wpdevcourse1.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php
[Mon Jul 16 13:25:27.136081 2018] [proxy_fcgi:error] [pid 595:tid 139794885609216] (22)Invalid argument: [client 172.17.0.1:57548] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php
[Mon Jul 16 13:32:06.204484 2018] [proxy_fcgi:error] [pid 595:tid 139794852038400] [client 172.17.0.1:58112] AH01068: Got bogus version 46, referer: http://wpdevcourse1.local/wp-admin/customize.php?url=http%3A%2F%2Fwpdevcourse1.local%2F
[Mon Jul 16 13:32:06.204623 2018] [proxy_fcgi:error] [pid 595:tid 139794852038400] (22)Invalid argument: [client 172.17.0.1:58112] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/customize.php?url=http%3A%2F%2Fwpdevcourse1.local%2F
[Mon Jul 16 15:04:37.967765 2018] [proxy_fcgi:error] [pid 595:tid 139795023849216] [client 172.17.0.1:60194] AH01068: Got bogus version 46, referer: http://wpdevcourse1.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php
